iso3,gcm,scenario,variable,from_year,to_year,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec
DEU,bccr_bcm2_0,a2,tas,2060,2079,35.90968811,33.971702576,37.4912908934,45.187406006,53.518857728,62.482006831999996,66.484718942,65.024479364,57.313442084,49.0988244632,42.2280133052,36.5396386712
DEU,bccr_bcm2_0,b1,tas,2060,2079,34.063358765000004,33.7608337406,36.507561341,42.832827149,51.811370851999996,60.978222968,65.244244388,63.881063546,56.059591676,47.413911743599996,38.9133996584,35.3589736946
DEU,bccr_bcm2_0,a2,tas,2080,2099,36.438641357,37.0321008296,40.1322421256,46.440803222599996,54.21875549,63.694749146,67.76742767,66.68546387,58.937042840000004,50.604036566000005,42.6306457526,38.8966647344
DEU,bccr_bcm2_0,b1,tas,2080,2099,33.6645852656,33.6052728266,35.646444701600004,42.3621316526,52.990052792,61.839801032,65.937454232,63.503078918,56.233400882,47.836275634399996,40.593016967,34.1463467408
ESP,bccr_bcm2_0,a2,tas,2020,2039,48.928313654600004,49.1173134548,51.687583232,55.077216692,59.655289532,65.677350416,70.992261302,71.20340520799999,67.663543694,61.000562084,54.60271052,52.0150424
ESP,bccr_bcm2_0,b1,tas,2020,2039,49.171887206600005,49.6822920368,52.250139824,54.418854308,58.733112128,65.516340776,71.11094693,71.25489779,67.540951256,60.884356694000004,54.758420078,51.690542882
ESP,bccr_bcm2_0,a2,tas,2040,2059,49.9023448592,50.048033558,52.721203622000004,56.147586332,60.699125534000004,67.04571255799999,71.08966175,71.31892478,68.030395502,61.919173922,55.54157216,51.51638129
ESP,bccr_bcm2_0,b1,tas,2040,2059,49.6562993834,49.5786493472,52.449736442,55.448181716,59.33213834,66.690214952,71.828966732,71.96269532,68.110216178,62.148591752,55.337003402,52.182211028
ESP,bccr_bcm2_0,a2,tas,2060,2079,50.97175736,50.51680187,54.364164044000006,57.47847179,61.525349006,68.509084802,73.0826699,73.694325398,70.547766116,63.473303228000006,57.568899254,53.654380664
ESP,bccr_bcm2_0,b1,tas,2060,2079,49.974075595399995,50.419609484000006,53.350031066,56.759000467999996,61.134766736,67.507193264,71.926823282,72.05935836200001,68.83968005599999,62.30802002,55.496123708,52.391490583999996
ESP,bccr_bcm2_0,a2,tas,2080,2099,51.818741672,52.71998513,55.892307344,59.318503646,63.617134226000005,70.804581512,76.088947082,76.17276278599999,71.744441918,65.34037974200001,58.042306796000005,54.421815632000005
ESP,bccr_bcm2_0,b1,tas,2080,2099,50.025092107999996,49.9956504134,53.245772492,56.53535711000001,60.583853984,67.282880756,72.81637462399999,72.71835161,69.20935502,62.938710158,55.742538722000006,52.217994829999995
FRA,bccr_bcm2_0,a2,tas,2020,2039,39.8996643074,39.9068054204,42.674354691800005,47.4995949494,54.523633928,62.336191622,66.850645316,65.59570868,59.593925894,51.840512923999995,44.914490301200004,42.3976756694
FRA,bccr_bcm2_0,b1,tas,2020,2039,39.5374334162,40.2332058986,42.755393843600004,46.785948042200005,54.053613842000004,62.430026522000006,66.817223564,66.00313166000001,60.082188278000004,52.537557146,44.5016557166,41.7543595754
FRA,bccr_bcm2_0,a2,tas,2040,2059,41.4217901048,40.8430403276,44.0115106748,48.7092662456,54.802763221999996,63.637079414,67.172037026,65.496275744,59.579788478,53.185623998,45.9612809618,41.787343527800004
FRA,bccr_bcm2_0,b1,tas,2040,2059,41.1451909844,40.8599992238,42.7967973194,47.3931224474,53.787030584,62.968714484,67.792331768,65.965766486,60.027586232000004,54.082467932,45.811154453,42.8020807442
FRA,bccr_bcm2_0,a2,tas,2060,2079,42.7216341884,41.038252397600004,45.0773559572,50.233897256,55.824614924,64.913121446,68.456337116,67.777911374,62.016472832000005,54.308703056,48.1030389968,43.997190162799996
FRA,bccr_bcm2_0,b1,tas,2060,2079,41.655697354400004,41.6123712716,44.324377997,49.1087607638,55.458949982,64.116655934,67.972763894,66.74322398,60.988244072,53.018382128,45.559540904,42.8342606978
FRA,bccr_bcm2_0,a2,tas,2080,2099,43.3504566536,43.979845082,46.8270369104,51.464339384,57.202295468,67.200005552,71.54657148199999,70.976302826,64.02957098,56.280267896,48.5993263946,45.2659446014
FRA,bccr_bcm2_0,b1,tas,2080,2099,41.2957519538,41.4213340064,44.0984042078,48.6261480164,55.877370944000006,64.36963112000001,68.75625056000001,66.838290674,61.149182126,53.898332072,46.3933199804,41.816402366
GRC,bccr_bcm2_0,a2,tas,2020,2039,48.714767456000004,48.0642486566,50.371844486,56.113839716,63.140814211999995,71.13392639599999,76.832174678,77.98857422,71.634228512,64.157849114,56.908901984,51.34237061
GRC,bccr_bcm2_0,b1,tas,2020,2039,48.6905273438,48.2313995366,50.406002816,56.04694214,62.618875124,71.075378426,77.82095642,78.566677862,71.80024413199999,65.07648010400001,56.812475588,52.790164178
GRC,bccr_bcm2_0,a2,tas,2040,2059,50.330355836,48.802963256599995,51.304718011999995,56.807690432,63.966265862,72.491946404,79.39252625,79.380471794,72.962359628,65.67312317,58.423504640000004,52.805706782
GRC,bccr_bcm2_0,b1,tas,2040,2059,48.8511444092,48.1346282966,50.405804438000004,55.75063172,62.797958366,71.871713258,77.76825866600001,79.11550598,71.801031488,64.501089476,57.277258304,52.097137448
GRC,bccr_bcm2_0,a2,tas,2060,2079,50.715402224,48.883407593,53.067507926,58.3086029,64.70764466,73.76225891,81.023428346,81.844638062,74.83669127600001,66.883270262,59.050155632,53.671087652
GRC,bccr_bcm2_0,b1,tas,2060,2079,48.9998413094,48.9864440912,51.411224372,56.709570307999996,62.830569452000006,71.462353514,78.544583132,79.51302185,72.618057248,64.611550904,57.133090202000005,51.811987298000005
GRC,bccr_bcm2_0,a2,tas,2080,2099,50.85368348,51.446166998,53.465045161999996,59.967590324,65.783709716,76.175558474,82.517892458,84.45456847400001,77.04666748400001,68.169219962,59.663455196,54.578262326
GRC,bccr_bcm2_0,b1,tas,2080,2099,50.117443844,49.217370605599996,51.341314694000005,57.170498666,64.553900144,73.106625362,79.314608768,79.42088011999999,72.89143066400001,65.14336547600001,57.696615608,51.751162724
IND,bccr_bcm2_0,a2,tas,2020,2039,58.87631849,61.868063606,67.778886056,74.99898617,79.19261538800001,79.825854704,76.72969841,76.00367858,75.31246061600001,71.828397986,65.625550178,60.59747507
IND,bccr_bcm2_0,b1,tas,2020,2039,58.515927062,61.424794184,67.158908834,74.59759337,78.97762607,79.871910764,76.285607702,75.77274304400001,75.093842912,71.53904921,65.64419121200001,60.521023832
IND,bccr_bcm2_0,a2,tas,2040,2059,59.886187124,63.040268588,68.498449214,75.779715974,80.23277858,80.84107504400001,77.008308782,76.514810702,75.915192938,72.547234898,66.838176608,61.611185264
IND,bccr_bcm2_0,b1,tas,2040,2059,59.338368698,62.644882064,67.81645589,75.276879998,79.830150548,80.30447603600001,76.88975802799999,76.456800932,75.664795082,72.40323767000001,66.298122986,60.972154538
IND,bccr_bcm2_0,a2,tas,2060,2079,61.703320207999994,63.963949712,70.007044406,77.981279864,82.00827323600001,82.012200116,78.29256047000001,77.897289884,77.20369187,74.07469714999999,68.29423817,62.788687268000004
IND,bccr_bcm2_0,b1,tas,2060,2079,59.759012354,62.895470972,68.42270091200001,76.30267976600001,80.465499626,80.73918170600001,77.090929844,76.74564268399999,75.978201974,72.53558501,66.316133264,60.713710178
IND,bccr_bcm2_0,a2,tas,2080,2099,63.658567958000006,66.820817714,72.200123798,80.031003476,83.746190264,84.553629494,80.516537942,79.87612785799999,79.320405344,76.141878332,70.031422634,64.640116418
IND,bccr_bcm2_0,b1,tas,2080,2099,60.840769244,64.18726312999999,69.55973628800001,76.87466204,81.17941407800001,81.264597494,78.21602270599999,77.76589242200001,76.84084796,73.415793578,66.998351678,62.291470118
ISR,bccr_bcm2_0,a2,tas,2020,2039,47.8148852534,49.5491979974,55.27843628,63.012723386,70.257767342,78.130559084,82.285072016,83.73813476000001,78.351054692,70.221655274,59.88798095,51.2624939
